canonical_venue_id,canonical_name_cn,amap_name,showstart_name,amap_keytag,overall_status,proposed_en,en_source,needs_review,canonical_name_en
B0L19AGMF3,瓦舍民谣烧烤酒馆,瓦舍民谣烧烤酒馆,,livehouse,core_candidate,Washe Folk Bar,showstart,False,Washe Folk Bar
B0JDZZBY5N,蜚声上海PHASE LIVE HOUSE SHANGHAI,蜚声上海PHASE LIVE HOUSE SHANGHAI,上海 PHASE蜚声LIVEHOUSE,livehouse,core_candidate,PHASE LIVEHOUSE,showstart,False,PHASE LIVEHOUSE
B0KUFU9FI8,赤红音乐现场,赤红音乐现场,,音乐厅,core_candidate,Chihong Livehouse,showstart,False,Chihong Livehouse
B0LRGYT5WH,響liveshow上海店,響liveshow(上海旗舰店),,livehouse,core_candidate,Xiang Liveshow,showstart,False,Xiang Liveshow
B0L3VZH823,響巷创意菜·音乐LiveHouse,響巷创意菜·音乐LiveHouse,,音乐餐厅,core_candidate,Xiangxiang Livehouse,showstart,False,Xiangxiang Livehouse
B0HAY503VW,7 HERTZ LIVE,7 HERTZ LIVE,7HERTZ LIVE,剧院,supplementary,7HERTZ LIVE,showstart,False,7HERTZ LIVE
B0KGU5Y44N,JZ Club(上海店),JZ Club(上海店),上海 JZ CLUB,酒吧,supplementary,JZ Club,showstart,False,JZ Club
B0FFKX34AX,Specters老卵俱乐部,Specters老卵俱乐部,,livehouse,supplementary,Specters,showstart,False,Specters
B0HRC4JNFM,THE PEARL(乍浦路店),THE PEARL(乍浦路店),梦想剧场珍珠剧场 THE PEARL,剧场,supplementary,THE PEARL,showstart,False,THE PEARL
B0FFHPDIFD,恺悦·星在文化中心,恺悦·星在文化中心,星在文化中心,活动中心,supplementary,Xingzai Culture Center,amap,True,Xingzai Culture Center
B0FFIJRCE8,林肯爵士乐上海中心(外滩中央商场店),林肯爵士乐上海中心(外滩中央商场店),林肯爵士乐上海中心,音乐厅,supplementary,Jazz at Lincoln Center Shanghai,none,True,Jazz at Lincoln Center Shanghai
B0M6JCEY0J,育音堂小镇B厅 YUYINTOWN BASEMENT,育音堂小镇B厅,育音堂小镇 B厅 YUYINTOWN BASEMENT,,supplementary,Yuyintang BASEMENT,showstart,False,Yuyintang BASEMENT
B0MA4UUS43,育音堂小镇C厅 YUYINTOWN CUBE,育音堂小镇C厅,育音堂小镇 C厅 YUYINTOWN CUBE,,supplementary,Yuyintang CUBE,showstart,False,Yuyintang CUBE
B0L3OCYHBO,育音堂小镇YUYINTOWN,育音堂小镇YUYINTOWN,,,supplementary,Yuyintang,showstart,False,Yuyintang
B0FFK039C0,育音堂音乐公园,育音堂音乐公园,育音堂音乐公园,酒吧,supplementary,Yuyintang Music Park,none,True,Yuyintang Music Park
B0LDDZGY1Y,CAVE ART VENUE,CAVE ART VENUE,CAVE ART VENUE,,uncertain,CAVE ART VENUE,showstart,False,CAVE ART VENUE
B0L6SO5BQE,Cream Club奶油俱乐部,Cream Club奶油俱乐部,CREAM CLUB,,uncertain,Cream Club,showstart,False,Cream Club
B0KDDC8NNM,EXIT Club,EXIT Club,Exit Club,酒吧,uncertain,EXIT Club,showstart,False,EXIT Club
B0L2VU8F84,EncoreSpace·意空间见,EncoreSpace·意空间见,ENCORE意空间见,音乐厅,uncertain,EncoreSpace,showstart,False,EncoreSpace
B0L6CGIFN1,FENRIR Shanghai,FENRIR Shanghai,FENRIR Shanghai,,uncertain,FENRIR Shanghai,showstart,False,FENRIR Shanghai
B0KDMR9922,MAX,MAX,MAX SHANGHAI,酒吧,uncertain,MAX SHANGHAI,showstart,False,MAX SHANGHAI
B0H0PHFGDM,YOUNG剧场,YOUNG剧场,YOUNG剧场,剧院,uncertain,Theatre YOUNG,showstart,False,Theatre YOUNG
B0FFH0HZ5Y,上海Chair Club,上海Chair Club,ChairClub,酒吧,uncertain,Chair Club Shanghai,showstart,False,Chair Club Shanghai
B0LA2UMZHN,上海LIVERSE音宇宙艺术中心,上海LIVERSE音宇宙艺术中心,LIVERSE音宇宙（上海）,音乐厅,uncertain,LIVERSE,showstart,False,LIVERSE
B00155R1FD,上海东方艺术中心,上海东方艺术中心,上海东方艺术中心,剧院,uncertain,Shanghai Oriental Art Center,none,True,Shanghai Oriental Art Center
B0FFH5W69O,上海东方艺术中心音乐厅,上海东方艺术中心音乐厅,上海东方艺术中心-音乐厅,音乐厅,uncertain,Shanghai Oriental Art Center Concert Hall,none,True,Shanghai Oriental Art Center Concert Hall
B0FFFA2W1B,上海保利大剧院(白银路店),上海保利大剧院(白银路店),上海保利大剧院,剧院,uncertain,Shanghai Poly Grand Theatre,none,True,Shanghai Poly Grand Theatre
B0JRLS4KRA,上海北外滩友邦大剧院,上海北外滩友邦大剧院,上海 北外滩友邦大剧院,剧院,uncertain,Shanghai AIA Grand Theatre (North Bund),none,True,Shanghai AIA Grand Theatre (North Bund)
B00155KLQC,上海商城剧院,上海商城剧院,久事·上海商城剧院,剧院,uncertain,Shanghai Centre Theatre,none,True,Shanghai Centre Theatre
B00155Q8KQ,上海城市剧院,上海城市剧院,上海保利城市剧院,剧院,uncertain,Shanghai City Theatre,none,True,Shanghai City Theatre
B00152D49B,上海爱乐乐团,上海爱乐乐团,棒呆留学·上海爱乐演奏厅,文艺团体,uncertain,Shanghai Philharmonic Orchestra,none,True,Shanghai Philharmonic Orchestra
B0FFI8Q5CH,上海素凯泰酒店,上海素凯泰酒店,上海素凯泰酒店,豪华型,uncertain,The Sukhothai Shanghai,none,True,The Sukhothai Shanghai
B0FFKOEPBA,交通银行前滩31演艺中心,交通银行前滩31演艺中心,交通银行前滩31演艺中心·大剧场,剧院,uncertain,31,amap,True,31
B0KD5HRWR2,半笑酒馆·南京东路店·精酿啤酒·脱口秀演出·艺术空间,半笑酒馆·南京东路店·精酿啤酒·脱口秀演出·艺术空间,半笑酒馆·精酿啤酒·脱口秀演出·艺术空间,酒吧,uncertain,Banxiao Bar,amap,True,Banxiao Bar
B0LDLRTG54,回响之地Music Park,回响之地Music Park,回响之地 Music Park,音乐厅,uncertain,Echo Space Music Park,showstart,False,Echo Space Music Park
B0FFHTLRD0,大世界,大世界,上海大世界 3F 世界盒子,剧院,uncertain,The Great World,none,True,The Great World
B0JB9NQRQG,新歌空间,新歌空间,新歌空间,活动中心,uncertain,Xinge Space,none,True,Xinge Space
B0LD3RKPGF,绿洲Oasis,绿洲Oasis,绿洲Oasis,,uncertain,Oasis Livehouse,showstart,False,Oasis Livehouse
B0M6PMKKMW,聚一场(中山公园又又中心店),聚一场(中山公园又又中心店),聚一场IDOL 中山公园又又中心店,,uncertain,Juyichang Idol (Youyou Center),none,True,Juyichang Idol (Youyou Center)
B0LRKXJX0R,青春无限音乐厅(上海广场店),青春无限音乐厅(上海广场店),青春无限音乐厅(上海广场店),音乐厅,uncertain,Qingchun Wuxian Concert Hall,none,True,Qingchun Wuxian Concert Hall
B0L6ZS2HCU,SandBar,SandBar,,清吧,supplementary,Sand Bar,qing_approved_20260713,False,Sand Bar
B0JABCS6YJ,梦田音乐Live House(上海店),梦田音乐Live House(上海店),,livehouse,boundary_case,Mengtian Music Live House,qing_approved_20260713,False,Mengtian Music Live House
